INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
ERROR: TFCPlus.zs:174: Could not resolve <liquid : oil>
ERROR: Error parsing TFCPlus.zs:175 -- ; expected
<bark:item.BambooBarkBasket>, Bamboo Bark Basket
<tfcplus-bids:item.Glass Lump>, Lump of Glass
<tfcplus-bids:item.IgEx Stone Adze>, Stone Adze
<tfcplus-bids:item.IgEx Stone Adze Head>, Stone Adze Head
<tfcplus-bids:item.IgEx Stone Drill>, Stone Drill
<tfcplus-bids:item.IgEx Stone Drill Head>, Stone Drill Head
<tfcplus-bids:item.IgIn Stone Adze>, Stone Adze
<tfcplus-bids:item.IgIn Stone Adze Head>, Stone Adze Head
<tfcplus-bids:item.IgIn Stone Drill>, Stone Drill
<tfcplus-bids:item.IgIn Stone Drill Head>, Stone Drill Head
<tfcplus-bids:item.Kindling>, Straw Kindling
<tfcplus-bids:item.Log Seasoned>, Seasoned Oak Log
<tfcplus-bids:item.MM Stone Adze>, Stone Adze
<tfcplus-bids:item.MM Stone Adze Head>, Stone Adze Head
<tfcplus-bids:item.MM Stone Drill>, Stone Drill
<tfcplus-bids:item.MM Stone Drill Head>, Stone Drill Head
<tfcplus-bids:item.Metal Blowpipe>, Wrought Iron Blowpipe
<tfcplus-bids:item.Ore Bit>, Native Copper Ore Bit
<tfcplus-bids:item.Peeled Log>, Peeled Oak Log
<tfcplus-bids:item.Peeled Log Seasoned>, Seasoned Peeled Oak Log
<tfcplus-bids:item.Pottery Mug>, Clay Mug
<tfcplus-bids:item.Pottery Mug.AgaveJuice>, Mug of Agave Juice
<tfcplus-bids:item.Pottery Mug.AgaveWine>, Mug of Agave Wine
<tfcplus-bids:item.Pottery Mug.AppleJuice>, Mug of Apple Juice
<tfcplus-bids:item.Pottery Mug.Applejack>, Mug of Applejack
<tfcplus-bids:item.Pottery Mug.BarleyWhiskey>, Mug of Barley Whiskey
<tfcplus-bids:item.Pottery Mug.BarleyWine>, Mug of Barley Wine
<tfcplus-bids:item.Pottery Mug.Beer>, Mug of Beer
<tfcplus-bids:item.Pottery Mug.BerryBrandy>, Mug of Berry Brandy
<tfcplus-bids:item.Pottery Mug.BerryJuice>, Mug of Berry Juice
<tfcplus-bids:item.Pottery Mug.BerryWine>, Mug of Berry Wine
<tfcplus-bids:item.Pottery Mug.CaneJuice>, Mug of Cane Juice
<tfcplus-bids:item.Pottery Mug.CaneWine>, Mug of Cane Wine
<tfcplus-bids:item.Pottery Mug.CherryJuice>, Mug of Cherry Juice
<tfcplus-bids:item.Pottery Mug.CoconutJuice>, Mug of Coconut Juice
<tfcplus-bids:item.Pottery Mug.CornBeer>, Mug of Corn Beer
<tfcplus-bids:item.Pottery Mug.CornWhiskey>, Mug of Corn Whiskey
<tfcplus-bids:item.Pottery Mug.CornWine>, Mug of Corn Wine
<tfcplus-bids:item.Pottery Mug.DateBrandy>, Mug of Date Brandy
<tfcplus-bids:item.Pottery Mug.DateJuice>, Mug of Date Juice
<tfcplus-bids:item.Pottery Mug.DateWine>, Mug of Date Wine
<tfcplus-bids:item.Pottery Mug.FigBrandy>, Mug of Fig Brandy
<tfcplus-bids:item.Pottery Mug.FigJuice>, Mug of Fig Juice
<tfcplus-bids:item.Pottery Mug.FigWine>, Mug of Fig Wine
<tfcplus-bids:item.Pottery Mug.FreshWater>, Mug of Water
<tfcplus-bids:item.Pottery Mug.FruitBrandy>, Mug of Cherry Brandy
<tfcplus-bids:item.Pottery Mug.FruitWine>, Mug of Cherry Wine
<tfcplus-bids:item.Pottery Mug.GrapeJuice>, Mug of Grape Juice
<tfcplus-bids:item.Pottery Mug.HoneyBrandy>, Mug of Honey Brandy
<tfcplus-bids:item.Pottery Mug.LemonBrandy>, Mug of Lemon Brandy
<tfcplus-bids:item.Pottery Mug.LemonJuice>, Mug of Lemon Juice
<tfcplus-bids:item.Pottery Mug.LemonWine>, Mug of Lemon Wine
<tfcplus-bids:item.Pottery Mug.Mead>, Mug of Mead
<tfcplus-bids:item.Pottery Mug.Milk>, Mug of Milk
<tfcplus-bids:item.Pottery Mug.OrangeBrandy>, Mug of Orange Brandy
<tfcplus-bids:item.Pottery Mug.OrangeJuice>, Mug of Orange Juice
<tfcplus-bids:item.Pottery Mug.OrangeWine>, Mug of Orange Wine
<tfcplus-bids:item.Pottery Mug.PapayaBrandy>, Mug of Papaya Brandy
<tfcplus-bids:item.Pottery Mug.PapayaJuice>, Mug of Papaya Juice
<tfcplus-bids:item.Pottery Mug.PapayaWine>, Mug of Papaya Wine
<tfcplus-bids:item.Pottery Mug.PeachBrandy>, Mug of Peach Brandy
<tfcplus-bids:item.Pottery Mug.PeachJuice>, Mug of Peach Juice
<tfcplus-bids:item.Pottery Mug.PeachWine>, Mug of Peach Wine
<tfcplus-bids:item.Pottery Mug.PlumBrandy>, Mug of Plum Brandy
<tfcplus-bids:item.Pottery Mug.PlumJuice>, Mug of Plum Juice
<tfcplus-bids:item.Pottery Mug.PlumWine>, Mug of Plum Wine
<tfcplus-bids:item.Pottery Mug.PotatoWine>, Mug of Potato Wine
<tfcplus-bids:item.Pottery Mug.RiceBeer>, Mug of Rice Beer
<tfcplus-bids:item.Pottery Mug.RiceWhiskey>, Mug of Rice Whiskey
<tfcplus-bids:item.Pottery Mug.Rum>, Mug of Rum
<tfcplus-bids:item.Pottery Mug.RyeBeer>, Mug of Rye Beer
<tfcplus-bids:item.Pottery Mug.RyeWhiskey>, Mug of Rye Whiskey
<tfcplus-bids:item.Pottery Mug.RyeWine>, Mug of Rye Wine
<tfcplus-bids:item.Pottery Mug.Sake>, Mug of Sake
<tfcplus-bids:item.Pottery Mug.Shochu>, Mug of Shochu
<tfcplus-bids:item.Pottery Mug.Tequila>, Mug of Tequila
<tfcplus-bids:item.Pottery Mug.Vodka>, Mug of Vodka
<tfcplus-bids:item.Pottery Mug.WheatBeer>, Mug of Wheat Beer
<tfcplus-bids:item.Pottery Mug.WheatWine>, Mug of Wheat Wine
<tfcplus-bids:item.Pottery Mug.Whiskey>, Mug of Whiskey
<tfcplus-bids:item.Pottery Mug.Wine>, Mug of Wine
<tfcplus-bids:item.Pottery Pipe>, Clay Pipe
<tfcplus-bids:item.Sed Rough Stone Loose Brick>, Rough Shale Brick
<tfcplus-bids:item.Sed Stone Adze>, Stone Adze
<tfcplus-bids:item.Sed Stone Adze Head>, Stone Adze Head
<tfcplus-bids:item.Sed Stone Drill>, Stone Drill
<tfcplus-bids:item.Sed Stone Drill Head>, Stone Drill Head
<tfcplus-bids:item.Shot Glass>, Empty Shot Glass
<tfcplus-bids:item.Shot Glass.AgaveJuice>, Shot of Agave Juice
<tfcplus-bids:item.Shot Glass.AgaveWine>, Shot of Agave Wine
<tfcplus-bids:item.Shot Glass.AppleJuice>, Shot of Apple Juice
<tfcplus-bids:item.Shot Glass.Applejack>, Shot of Applejack
<tfcplus-bids:item.Shot Glass.BarleyWhiskey>, Shot of Barley Whiskey
<tfcplus-bids:item.Shot Glass.BarleyWine>, Shot of Barley Wine
<tfcplus-bids:item.Shot Glass.Beer>, Shot of Beer
<tfcplus-bids:item.Shot Glass.BerryBrandy>, Shot of Berry Brandy
<tfcplus-bids:item.Shot Glass.BerryJuice>, Shot of Berry Juice
<tfcplus-bids:item.Shot Glass.BerryWine>, Shot of Berry Wine
<tfcplus-bids:item.Shot Glass.CaneJuice>, Shot of Cane Juice
<tfcplus-bids:item.Shot Glass.CaneWine>, Shot of Cane Wine
<tfcplus-bids:item.Shot Glass.CherryJuice>, Shot of Cherry Juice
<tfcplus-bids:item.Shot Glass.CoconutJuice>, Shot of Coconut Juice
<tfcplus-bids:item.Shot Glass.CornBeer>, Shot of Corn Beer
<tfcplus-bids:item.Shot Glass.CornWhiskey>, Shot of Corn Whiskey
<tfcplus-bids:item.Shot Glass.CornWine>, Shot of Corn Wine
<tfcplus-bids:item.Shot Glass.DateBrandy>, Shot of Date Brandy
<tfcplus-bids:item.Shot Glass.DateJuice>, Shot of Date Juice
<tfcplus-bids:item.Shot Glass.DateWine>, Shot of Date Wine
<tfcplus-bids:item.Shot Glass.FigBrandy>, Shot of Fig Brandy
<tfcplus-bids:item.Shot Glass.FigJuice>, Shot of Fig Juice
<tfcplus-bids:item.Shot Glass.FigWine>, Shot of Fig Wine
<tfcplus-bids:item.Shot Glass.FreshWater>, Shot of Water
<tfcplus-bids:item.Shot Glass.FruitBrandy>, Shot of Cherry Brandy
<tfcplus-bids:item.Shot Glass.FruitWine>, Shot of Cherry Wine
<tfcplus-bids:item.Shot Glass.GrapeJuice>, Shot of Grape Juice
<tfcplus-bids:item.Shot Glass.HoneyBrandy>, Shot of Honey Brandy
<tfcplus-bids:item.Shot Glass.LemonBrandy>, Shot of Lemon Brandy
<tfcplus-bids:item.Shot Glass.LemonJuice>, Shot of Lemon Juice
<tfcplus-bids:item.Shot Glass.LemonWine>, Shot of Lemon Wine
<tfcplus-bids:item.Shot Glass.Mead>, Shot of Mead
<tfcplus-bids:item.Shot Glass.Milk>, Shot of Milk
<tfcplus-bids:item.Shot Glass.OrangeBrandy>, Shot of Orange Brandy
<tfcplus-bids:item.Shot Glass.OrangeJuice>, Shot of Orange Juice
<tfcplus-bids:item.Shot Glass.OrangeWine>, Shot of Orange Wine
<tfcplus-bids:item.Shot Glass.PapayaBrandy>, Shot of Papaya Brandy
<tfcplus-bids:item.Shot Glass.PapayaJuice>, Shot of Papaya Juice
<tfcplus-bids:item.Shot Glass.PapayaWine>, Shot of Papaya Wine
<tfcplus-bids:item.Shot Glass.PeachBrandy>, Shot of Peach Brandy
<tfcplus-bids:item.Shot Glass.PeachJuice>, Shot of Peach Juice
<tfcplus-bids:item.Shot Glass.PeachWine>, Shot of Peach Wine
<tfcplus-bids:item.Shot Glass.PlumBrandy>, Shot of Plum Brandy
<tfcplus-bids:item.Shot Glass.PlumJuice>, Shot of Plum Juice
<tfcplus-bids:item.Shot Glass.PlumWine>, Shot of Plum Wine
<tfcplus-bids:item.Shot Glass.PotatoWine>, Shot of Potato Wine
<tfcplus-bids:item.Shot Glass.RiceBeer>, Shot of Rice Beer
<tfcplus-bids:item.Shot Glass.RiceWhiskey>, Shot of Rice Whiskey
<tfcplus-bids:item.Shot Glass.Rum>, Shot of Rum
<tfcplus-bids:item.Shot Glass.RyeBeer>, Shot of Rye Beer
<tfcplus-bids:item.Shot Glass.RyeWhiskey>, Shot of Rye Whiskey
<tfcplus-bids:item.Shot Glass.RyeWine>, Shot of Rye Wine
<tfcplus-bids:item.Shot Glass.Sake>, Shot of Sake
<tfcplus-bids:item.Shot Glass.Shochu>, Shot of Shochu
<tfcplus-bids:item.Shot Glass.Tequila>, Shot of Tequila
<tfcplus-bids:item.Shot Glass.Vodka>, Shot of Vodka
<tfcplus-bids:item.Shot Glass.WheatBeer>, Shot of Wheat Beer
<tfcplus-bids:item.Shot Glass.WheatWine>, Shot of Wheat Wine
<tfcplus-bids:item.Shot Glass.Whiskey>, Shot of Whiskey
<tfcplus-bids:item.Shot Glass.Wine>, Shot of Wine
<tfcplus-bids:item.Small Stick Bundle>, Small Bundle of Sticks
<tfcplus-bids:item.Tied Stick Bundle>, Tied Bundle of Sticks
<tfcplusborscht:item.Bone Bouillon>, Bottle of Bone Bouillon
<tfcplusborscht:item.Borscht>, Bottle of Borscht
<tfcplusborscht:item.Bowl of Bone Bouillon>, Bowl of Bone Bouillon
<tfcplusborscht:item.Bowl of Borscht>, Bowl of Borscht
<tfcplusborscht:item.Bowl of Cabbage Soup>, Bowl of Cabbage Soup
<tfcplusborscht:item.Bowl of Cheese Soup>, Bowl of Cheese Soup
<tfcplusborscht:item.Bowl of Chicken Bouillon>, Bowl of Chicken Bouillon
<tfcplusborscht:item.Bowl of Chicken Soup>, Bowl of Chicken Soup
<tfcplusborscht:item.Bowl of Fish Boillon>, Bowl of Fish Bouillon
<tfcplusborscht:item.Bowl of Fish Soup>, Bowl of Fish Soup
<tfcplusborscht:item.Bowl of Kvass Okroshka>, Bowl of Kvass Okroshka
<tfcplusborscht:item.Bowl of Meat Boillon>, Bowl of Meat Bouillon
<tfcplusborscht:item.Bowl of Milk Soup>, Bowl of Milk Soup
<tfcplusborscht:item.Bowl of Mushroom Bouillon>, Bowl of Mushroom Bouillon
<tfcplusborscht:item.Bowl of Mushroom Soup>, Bowl of Mushroom Soup
<tfcplusborscht:item.Bowl of Okroshka>, Bowl of Okroshka
<tfcplusborscht:item.Bowl of Peasant Soup>, Bowl of Peasant Soup
<tfcplusborscht:item.Bowl of Potato Soup>, Bowl of Potato Soup
<tfcplusborscht:item.Bowl of Zhur>, Bowl of Zhur
<tfcplusborscht:item.Cabbage Soup>, Bottle of Cabbage Soup
<tfcplusborscht:item.Cheese Soup>, Bottle of Cheese Soup
<tfcplusborscht:item.Chicken Bouillon>, Bottle of Chicken Bouillon
<tfcplusborscht:item.Chicken Soup>, Bottle of Chicken Soup
<tfcplusborscht:item.Fish Boillon>, Bottle of Fish Bouillon
<tfcplusborscht:item.Fish Soup>, Bottle of Fish Soup
<tfcplusborscht:item.Kvass Okroshka>, Bottle of Kvass Okroshka
<tfcplusborscht:item.Meat Boillon>, Bottle of Meat Bouillon
<tfcplusborscht:item.Milk Soup>, Bottle of Milk Soup
<tfcplusborscht:item.Mushroom Bouillon>, Bottle of Mushroom Bouillon
<tfcplusborscht:item.Mushroom Soup>, Bottle of Mushroom Soup
<tfcplusborscht:item.Okroshka>, Bottle of Okroshka
<tfcplusborscht:item.Peasant Soup>, Bottle of Peasant Soup
<tfcplusborscht:item.Potato Soup>, Bottle of Potato Soup
<tfcplusborscht:item.Zhur>, Bottle of Zhur
<tfcpluskvass:item.Agave Mors>, Bottle of Agave Mors
<tfcpluskvass:item.Apple Compote>, Bottle of Apple Compote
<tfcpluskvass:item.Apple Mors>, Bottle of Apple Mors
<tfcpluskvass:item.Apple Tea>, Bottle of Apple Tea
<tfcpluskvass:item.Berry Kissel>, Bottle of Berry Kissel
<tfcpluskvass:item.Berry Kissel Bowl>, Bowl of Berry Kissel
<tfcpluskvass:item.Berry Mors>, Bottle of Berry Mors
<tfcpluskvass:item.Blackberry Tea>, Bottle of Blackberry Tea
<tfcpluskvass:item.Blueberry Compote>, Bottle of Blueberry Compote
<tfcpluskvass:item.Blueberry Tea>, Bottle of Blueberry Tea
<tfcpluskvass:item.Bowl of Gogol-Mogol>, Bowl of Kogel-Mogel
<tfcpluskvass:item.Cane Mors>, Bottle of Cane Mors
<tfcpluskvass:item.Cherry Mors>, Bottle of Cherry Mors
<tfcpluskvass:item.Cherry Tea>, Bottle of Cherry Tea
<tfcpluskvass:item.Cranberry Tea>, Bottle of Cranberry Tea
<tfcpluskvass:item.Date Mors>, Bottle of Date Mors
<tfcpluskvass:item.Dying Kombucha>, Dying Kombucha
<tfcpluskvass:item.Fig Mors>, Bottle of Fig Mors
<tfcpluskvass:item.Fruit Kissel>, Bottle of Fruit Kissel
<tfcpluskvass:item.Fruit Kissel Bowl>, Bowl of Fruit Kissel
<tfcpluskvass:item.Gogol-Mogol>, Bottle of Kogel-Mogel
<tfcpluskvass:item.Gooseberry Compote>, Bottle of Gooseberry Compote
<tfcpluskvass:item.Gooseberry Tea>, Bottle of Gooseberry Tea
<tfcpluskvass:item.Grape Mors>, Bottle of Grape Mors
<tfcpluskvass:item.Kissel>, Bottle of Kissel
<tfcpluskvass:item.Kissel Bowl>, Bowl of Kissel
<tfcpluskvass:item.Kombucha>, Kombucha
<tfcpluskvass:item.Kvass>, Bottle of Kvass
<tfcpluskvass:item.Lemon Mors>, Bottle of Lemon Mors
<tfcpluskvass:item.Lemon Tea>, Bottle of Lemon Tea
<tfcpluskvass:item.Orange Mors>, Bottle of Orange Mors
<tfcpluskvass:item.Papaya Mors>, Bottle of Papaya Mors
<tfcpluskvass:item.Peach Mors>, Bottle of Peach Mors
<tfcpluskvass:item.Plum Compote>, Bottle of Plum Compote
<tfcpluskvass:item.Plum Mors>, Bottle of Plum Mors
<tfcpluskvass:item.Raspberry Compote>, Bottle of Raspberry Compote
<tfcpluskvass:item.Raspberry Tea>, Bottle of Raspberry Tea
<tfcpluskvass:item.Sbiten>, Bottle of Sbiten
<tfcpluskvass:item.Strawberry Compote>, Bottle of Strawberry Compote
<tfcpluskvass:item.Strawberry Tea>, Bottle of Strawberry Tea
<tfcpluskvass:item.Syrup>, Bottle of Syrup
<tfcpluskvass:item.Tarhun>, Bottle of Tarhun
<tfcpluskvass:item.Tea>, Bottle of Tea
<tfcpluskvass:item.Tea Mushroom>, Bottle of Tea Mushroom
INFO: Removing minetweaker command mfr
INFO: Removing command minetweaker
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
ERROR: TFCPlus.zs:174: Could not resolve <liquid : oil>
ERROR: Error parsing TFCPlus.zs:175 -- ; expected
INFO: Removing minetweaker command mfr
INFO: Removing command minetweaker
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
ERROR: TFCPlus.zs:174: Could not resolve <liquid : oil>
ERROR: Error parsing TFCPlus.zs:175 -- ; expected
INFO: Removing minetweaker command mfr
INFO: Removing command minetweaker
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
ERROR: TFCPlus.zs:174: Could not resolve <liquid : oil>
ERROR: Error parsing TFCPlus.zs:175 -- ; expected
